Title,Price,Location
SUPER HOT,PKR,"DHA Phase 6 - Block B, DHA Phase 6"
SUPER HOT,PKR,"Park View City, Lahore"
SUPER HOT,PKR,"Bahria Town - Overseas Extension, Bahria Town - Overseas Enclave"
SUPER HOT,PKR,"DHA Phase 6 - Block K, DHA Phase 6"
SUPER HOT,PKR,"Chinar Bagh - Shaheen Block, Chinar Bagh"
SUPER HOT,PKR,"Allama Iqbal Town, Lahore"
HOT,PKR,"DHA Phase 5, DHA Defence"
HOT,PKR,"Wapda Town Phase 1, Wapda Town"
HOT,PKR,"DHA Phase 7, DHA Defence"
49,PKR,"DHA Phase 7, DHA Defence"
23,PKR,"DHA 9 Town, DHA Defence"
14,PKR,"DHA 9 Town, DHA Defence"
24,PKR,"DHA 9 Town, DHA Defence"
6,PKR,"Paragon City, Lahore"
16,PKR,"Paragon City, Lahore"
19,PKR,"Paragon City, Lahore"
14,PKR,"Paragon City, Lahore"
SUPER HOT,PKR,"Park View City - Executive Block, Park View City"
SUPER HOT,PKR,"DHA Phase 1 - Block M, DHA Phase 1"
SUPER HOT,PKR,"DHA Phase 6 - Block L, DHA Phase 6"
SUPER HOT,PKR,"DHA Phase 7 - Block W, DHA Phase 7"
SUPER HOT,PKR,"Cantt, Lahore"
SUPER HOT,PKR,"Iqbal Park, Lahore"
HOT,PKR,"DHA Phase 7 - Block S, DHA Phase 7"
HOT,PKR,"Rehman Villas, Lahore"
26,PKR,"Paragon City, Lahore"
17,PKR,"DHA 9 Town, DHA Defence"
21,PKR,"Johar Town Phase 2, Johar Town"
31,PKR,"Park View City - Tulip Overseas, Park View City"
17,PKR,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal"
19,PKR,"TIP Housing Society - Phase 3, TIP Housing Society"
9,PKR,"NFC 1, Lahore"
SUPER HOT,PKR,"DHA 9 Town - Block A, DHA 9 Town"
SUPER HOT,PKR,"DHA Phase 7 - Block P, DHA Phase 7"
SUPER HOT,PKR,"Low Cost - Block C, Low Cost Sector"
SUPER HOT,PKR,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1"
SUPER HOT,PKR,"Johar Town Phase 2, Johar Town"
SUPER HOT,PKR,"NFC 1, Lahore"
HOT,PKR,"Allama Iqbal Town - Pak Block, Allama Iqbal Town"
HOT,PKR,"Johar Town, Lahore"
HOT,PKR,"Central Park Housing Scheme, Lahore"
41,PKR,"Nespak Scheme Phase 3, Defence Road"
19,PKR,"Valencia Housing Society, Lahore"
8,PKR,"TIP Housing Society - Phase 2, TIP Housing Society"
13,PKR,"Wapda Town Phase 1, Wapda Town"
21,PKR,"Tariq Gardens, Lahore"
25,PKR,"Wapda Town Phase 1, Wapda Town"
10,PKR,"Wapda Town Phase 1, Wapda Town"
19,PKR,"Park View City, Lahore"
SUPER HOT,PKR,"FCC, Gulberg 4"
SUPER HOT,PKR,"DHA Phase 7 - Block Z, DHA Phase 7"
SUPER HOT,PKR,"Airline Housing Society, Lahore"
SUPER HOT,PKR,"Lake City Meadows Phase 1, Lake City Meadows"
SUPER HOT,PKR,"Allama Iqbal Town - Badar Block, Allama Iqbal Town"
HOT,PKR,"Lake City - Sector M-2A, Lake City"
HOT,PKR,"Lake City - Sector M-3, Lake City"
HOT,PKR,"Marghzar Officers Colony, Lahore"
HOT,PKR,"Lalazaar Garden, Lahore"
HOT,PKR,"Sabzazar Scheme, Lahore"
28,PKR,"Park View City, Lahore"
15,PKR,"Park View City, Lahore"
12,PKR,"Park View City, Lahore"
27,PKR,"DHA 9 Town, DHA Defence"
28,PKR,"DHA Phase 7, DHA Defence"
25,PKR,"DHA 9 Town, DHA Defence"
